Intel Xeon Gold 6266C,18095
Intel Xeon W-2295,18088
AMD Ryzen 5 9600X,18081
AMD EPYC 7302P,18055
AMD Ryzen 9 7940HS,18046
Intel Xeon Silver 4314,18015
Intel Core i9-7980XE,18012
Intel Xeon W-3245,18012
Intel Core 9 270H,17957
Intel Core i9-9990XE,17930
Intel Core Ultra 5 225H,17861
AMD Ryzen 9 8945HS,17808
Intel Xeon Gold 6253CL,17784
Intel Xeon w3-2525,17755
Intel Xeon D-2795NT,17729
AMD Ryzen 9 270,17728
AMD Ryzen 7 8745H,17725
AMD Ryzen 5 9600,17682
Intel Core i5-14500HX,17677
Intel Core i7-12700E,17630
Intel Xeon Platinum 8175M,17591
AMD Ryzen 9 7940H,17578
Intel Xeon w5-3423,17573
Intel Core i9-12900E,17548
Intel Xeon Platinum 8252C,17533
Intel Core i5-13600T,17525
Intel Xeon Gold 6434,17512
Intel Xeon Platinum 8160,17468
AMD Ryzen 7 8745HS,17464
Intel Xeon Platinum 8173M,17455
Intel Xeon W-2195,17450
Intel Xeon W-3323,17330
Intel Xeon E-2478,17329
Intel Core i7-13700T,17306
Intel Core i5-14450HX,17301
AMD Ryzen Threadripper 2950X,17299
AMD EPYC 7571,17219
AMD EPYC 7303,17219
AMD Ryzen 9 3900X,17215
Intel Core i9-9960X,17189
AMD Ryzen 5 9500F,17174
Intel Core i5-12600K,17171
AMD Ryzen 7 7840HS,17168
Intel Core i5-12600KF,17160
AMD Ryzen 7 8845HS,17150
Intel Core i7-14701TE,17143
Intel Xeon Gold 5317,17123
Intel Xeon Gold 6212U,17112
Intel Core i5-13600HX,17099
AMD Ryzen 7 PRO 8700GE,17071
Intel Core i9-10940X,17069
AMD Ryzen 5 7600X,17068
AMD Ryzen 7 5800X3D,17055
Intel Core i9-13900H,17035
Intel Xeon D-2775TE,17004
AMD Ryzen 7 260,16978
Intel Xeon Silver 4410T,16972
Intel Core i5-14600T,16932
Intel Xeon Gold 6252,16911
Intel Xeon Gold 6148,16891
AMD Ryzen 7 5800XT,16883
Intel Core i7-13650HX,16872
AMD Ryzen 7 PRO 8840H,16871
Intel Xeon W-2275,16854
Intel Core i9-7960X,16832
Intel Core i5-13400E,16820
Intel Core i9-13900HK,16791
Intel Core i9-12900H,16775
AMD EPYC 7401P,16774
AMD Ryzen 7 7840H,16763
Intel Core i5-13400EF,16693
Intel Xeon Gold 6150,16663
Intel Xeon E5-2699A v4,16655
Intel Core i5-14490F,16646
Intel Core i9-9940X,16637
Intel Xeon Gold 6210U,16617
AMD Ryzen 5 PRO 7645,16612
Intel Xeon W-3245M,16611
Intel Xeon E-2468,16603
Intel Core i5-13490F,16560
Intel Xeon W-2191B,16461
AMD EPYC 7371,16456
AMD Ryzen 9 PRO 7940HS,16444
Intel Xeon 6353P,16427
Intel Core i7-13800H,16423
AMD EPYC 72F3,16422
Intel Xeon Gold 6226R,16417
Intel Xeon D-2796TE,16408
Intel Core Ultra 5 225T,16401
AMD EPYC 4244P,16370
Intel Core i5-13500HX,16295
AMD Ryzen 5 7600,16281
Intel Core i7-13700H,16258
Intel Core i7-12800HE,16256
AMD Ryzen 7 8845H,16228
AMD Ryzen Threadripper 1950X,16219
Intel Core i7-14701E,16210
Intel Xeon w3-2435,16188
AMD Ryzen 7 PRO 8840HS,16168
Intel Xeon 6349P,16167
Intel Xeon Gold 6240,16149
Intel Core Ultra 7 165H,16142
Intel Xeon Gold 6154,16130
AMD Ryzen 7 5800X,16082
AMD Ryzen 5 7500F,16059
AMD Ryzen 7 5700X,16032
Intel Core i5-13500E,16021
Intel Core 7 250H,15966
Intel Core i7-13705H,15964
Intel Core i5-14400F,15954
Intel Xeon E5-2698R v4,15949
Intel Xeon W-3235,15945
AMD Ryzen 7 5700X3D,15855
AMD Ryzen Z2,15812
Intel Xeon Gold 6152,15796
Intel Xeon Gold 6256,15781
Intel Core i7-12700H,15749
AMD Ryzen AI 7 PRO 450,15734
AMD Ryzen 5 7645HX,15727
Intel Core i5-14400,15724
AMD Ryzen 7 PRO 5845,15701
Intel Core i5-13400F,15576
AMD EPYC 7551,15543
Intel Xeon Silver 4410Y,15541
AMD Ryzen 5 7600X3D,15536
Intel Xeon W-2265,15525
AMD Ryzen 7 5800,15499
Intel Xeon W-1390P,15493
Intel Core i5-13450HX,15470
AMD Ryzen 7 250,15439
Intel Xeon Gold 6143,15438
Intel Xeon Platinum 8167M,15416
AMD Ryzen 5 7400F,15416
Intel Core i9-10920X,15415
Intel Core 7 240H,15411
Intel Core i9-7940X,15366
Intel Xeon Gold 6138,15339
Intel Xeon Gold 5220,15249
Intel Xeon Gold 6208U,15249
AMD Ryzen 5 PRO 8600G,15228
Intel Xeon W-2170B,15227
AMD Ryzen 5 8600G,15196
Intel Xeon Gold 6140,15187
AMD EPYC 7272,15162
Intel Xeon Gold 6222V,15108
AMD Ryzen 5 7500X3D,15106
AMD Ryzen 7 8840HS,15081
Intel Core i5-12600HX,15078
AMD EPYC 7501,15029
AMD Ryzen AI 7 350,15016
Intel Core i9-12900TE,14961
